# Source: Kaiser Family Foundation, Employer Health Benefits Survey, annual.
# URL: https://www.kff.org/health-costs/report/employer-health-benefits-annual-survey/
#
# Coverage: 1999–present (annual). Family coverage = total annual premium for
# employer-sponsored family health insurance, sum of employer + employee
# contributions. Pre-1999 healthcare cost analysis relies on Cutler and Meara
# (2001) and is presented as illustrative rather than systematic.
#
# All values in nominal dollars.
#
year,family_premium_total,employee_contribution,employer_contribution,source
1999,5791,1543,4248,KFF EHBS 1999
2000,6438,1619,4819,KFF EHBS 2000
2001,7061,1787,5274,KFF EHBS 2001
2002,8003,2084,5919,KFF EHBS 2002
2003,9068,2412,6656,KFF EHBS 2003
2004,9950,2661,7289,KFF EHBS 2004
2005,10880,2713,8167,KFF EHBS 2005
2006,11480,2973,8508,KFF EHBS 2006
2007,12106,3281,8824,KFF EHBS 2007
2008,12680,3354,9325,KFF EHBS 2008
2009,13375,3515,9860,KFF EHBS 2009
2010,13770,3997,9773,KFF EHBS 2010
2011,15073,4129,10944,KFF EHBS 2011
2012,15745,4316,11429,KFF EHBS 2012
2013,16351,4565,11786,KFF EHBS 2013
2014,16834,4823,12011,KFF EHBS 2014
2015,17545,4955,12591,KFF EHBS 2015
2016,18142,5277,12865,KFF EHBS 2016
2017,18764,5714,13049,KFF EHBS 2017
2018,19616,5547,14069,KFF EHBS 2018
2019,20576,6015,14561,KFF EHBS 2019
2020,21342,5588,15754,KFF EHBS 2020
2021,22221,5969,16253,KFF EHBS 2021
2022,22463,6106,16357,KFF EHBS 2022
2023,23968,6575,17393,KFF EHBS 2023
2024,25572,6981,18591,KFF EHBS 2024 (preliminary)
