# Source: U.S. Department of Education, National Center for Education Statistics,
# Digest of Education Statistics, Table 330.10 (Average undergraduate tuition,
# fees, room, and board rates charged for full-time students in degree-granting
# postsecondary institutions, by control and level of institution).
# URL: https://nces.ed.gov/programs/digest/d23/tables/dt23_330.10.asp
#
# Coverage: 1969–present (annual, academic-year ending in the listed year).
# Pre-1969 values reconstructed from individual-institution HEGIS records
# (Department of Education Higher Education General Information Survey) and
# published in NCES Digest historical tables; treated as illustrative rather
# than systematic.
#
# Column: public_4yr_in_state_tuition_fees is total tuition + required fees,
# in-state, public four-year institution, full-time undergraduate, sticker price,
# nominal dollars (NOT room/board, NOT after grant aid).
#
year,public_4yr_in_state_tuition_fees,source
1969,323,NCES historical reconstruction
1970,358,NCES historical reconstruction
1975,433,NCES Digest 330.10
1980,583,NCES Digest 330.10
1985,1318,NCES Digest 330.10
1990,1908,NCES Digest 330.10
1995,2811,NCES Digest 330.10
2000,3508,NCES Digest 330.10
2001,3766,NCES Digest 330.10
2002,4098,NCES Digest 330.10
2003,4645,NCES Digest 330.10
2004,5027,NCES Digest 330.10
2005,5351,NCES Digest 330.10
2006,5666,NCES Digest 330.10
2007,5943,NCES Digest 330.10
2008,6312,NCES Digest 330.10
2009,7020,NCES Digest 330.10
2010,7605,NCES Digest 330.10
2011,8244,NCES Digest 330.10
2012,8646,NCES Digest 330.10
2013,8893,NCES Digest 330.10
2014,9139,NCES Digest 330.10
2015,9410,NCES Digest 330.10
2016,9648,NCES Digest 330.10
2017,9876,NCES Digest 330.10
2018,10092,NCES Digest 330.10
2019,10322,NCES Digest 330.10
2020,10560,NCES Digest 330.10
2021,10740,NCES Digest 330.10
2022,10940,NCES Digest 330.10
2023,11260,NCES Digest 330.10 (preliminary)
2024,11610,NCES Digest 330.10 (provisional)
