,FODSP
1980-01-01,15.409611
1980-04-01,15.495794
1980-07-01,15.256818
1980-10-01,15.088563
1981-01-01,15.144808
1981-04-01,15.336394
1981-07-01,15.194527
1981-10-01,15.341718
1982-01-01,15.446338
1982-04-01,15.513214
1982-07-01,15.430984
1982-10-01,15.430511
1983-01-01,15.389149
1983-04-01,15.408974
1983-07-01,15.389074
1983-10-01,15.422913
1984-01-01,15.440165
1984-04-01,15.563546
1984-07-01,15.716997
1984-10-01,15.953186
1985-01-01,16.390224
1985-04-01,16.488031
1985-07-01,16.893052
1985-10-01,17.066658
1986-01-01,17.058792
1986-04-01,17.181443
1986-07-01,17.342207
1986-10-01,17.574875
1987-01-01,17.460779
1987-04-01,17.684858
1987-07-01,17.501356
1987-10-01,17.308231
1988-01-01,17.181916
1988-04-01,17.098642
1988-07-01,17.005382
1988-10-01,16.855827
1989-01-01,16.808397
1989-04-01,16.998686
1989-07-01,17.076152
1989-10-01,17.028247
1990-01-01,16.915896
1990-04-01,16.883678
1990-07-01,16.888019
1990-10-01,16.950833
1991-01-01,16.941126
1991-04-01,16.796803
1991-07-01,16.684987
1991-10-01,16.469432
1992-01-01,16.163758
1992-04-01,15.982646
1992-07-01,15.843032
1992-10-01,15.770656
1993-01-01,15.690075
1993-04-01,15.610013
1993-07-01,15.686952
1993-10-01,15.658808
1994-01-01,15.708721
1994-04-01,15.781162
1994-07-01,15.934273
1994-10-01,16.015669
1995-01-01,16.220678
1995-04-01,16.435373
1995-07-01,16.554592
1995-10-01,16.600551
1996-01-01,16.589061
1996-04-01,16.590751
1996-07-01,16.644461
1996-10-01,16.707239
1997-01-01,16.68022
1997-04-01,16.70592
1997-07-01,16.700924
1997-10-01,16.599067
1998-01-01,16.371948
1998-04-01,16.347744
1998-07-01,16.319667
1998-10-01,16.401016
1999-01-01,16.457374
1999-04-01,16.660741
1999-07-01,16.778503
1999-10-01,16.741254
2000-01-01,16.645686
2000-04-01,16.75542
2000-07-01,16.873239
2000-10-01,17.069215
2001-01-01,17.166227
2001-04-01,17.422887
2001-07-01,17.30701
2001-10-01,17.785072
2002-01-01,17.449867
2002-04-01,17.289057
2002-07-01,17.277368
2002-10-01,17.205065
2003-01-01,17.204955
2003-04-01,17.105042
2003-07-01,16.875832
2003-10-01,16.962792
2004-01-01,16.964501
2004-04-01,16.883793
2004-07-01,17.031182
2004-10-01,17.024978
2005-01-01,17.488082
2005-04-01,17.500823
2005-07-01,17.537797
2005-10-01,17.523044
2006-01-01,17.494816
2006-04-01,17.549172
2006-07-01,17.697125
2006-10-01,17.816743
2007-01-01,17.83359
2007-04-01,17.881412
2007-07-01,18.022181
2007-10-01,18.15763
2008-01-01,18.063885
2008-04-01,17.608756
2008-07-01,17.766641
2008-10-01,17.772964
2009-01-01,17.745354
2009-04-01,17.40518
2009-07-01,17.33792
2009-10-01,17.021457
2010-01-01,16.708639
2010-04-01,16.315847
2010-07-01,16.122662
2010-10-01,15.962874
2011-01-01,15.720879
2011-04-01,15.635795
2011-07-01,15.516659
2011-10-01,15.43146
2012-01-01,15.221059
2012-04-01,15.131447
2012-07-01,15.280715
2012-10-01,14.879423
2013-01-01,15.468993
2013-04-01,15.374732
2013-07-01,15.336067
2013-10-01,15.375387
2014-01-01,15.279788
2014-04-01,15.190771
2014-07-01,15.151267
2014-10-01,15.072617
2015-01-01,15.088066
2015-04-01,15.119851
2015-07-01,15.187556
2015-10-01,15.140882
2016-01-01,15.109428
2016-04-01,15.223628
2016-07-01,15.259559
2016-10-01,15.176146
2017-01-01,15.047829
2017-04-01,14.962171
2017-07-01,14.929608
2017-10-01,14.906151
2018-01-01,14.8156
2018-04-01,14.748986
2018-07-01,14.710258
2018-10-01,14.713973
2019-01-01,14.662523
2019-04-01,14.734329
2019-07-01,14.743116
2019-10-01,14.712765
2020-01-01,14.609145
2020-04-01,13.25135
2020-07-01,13.671569
2020-10-01,13.963118
2021-01-01,12.429408
2021-04-01,13.59272
2021-07-01,13.863365
2021-10-01,14.014557
2022-01-01,14.30573
2022-04-01,14.348671
2022-07-01,14.35168
2022-10-01,14.397505
2023-01-01,14.123631
2023-04-01,14.109284
2023-07-01,14.198002
