,MEPAINUSA672N
1974-01-01,28720.0
1975-01-01,28140.0
1976-01-01,28210.0
1977-01-01,28390.0
1978-01-01,28160.0
1979-01-01,27380.0
1980-01-01,27010.0
1981-01-01,26480.0
1982-01-01,26750.0
1983-01-01,27300.0
1984-01-01,28080.0
1985-01-01,28700.0
1986-01-01,29610.0
1987-01-01,30030.0
1988-01-01,30940.0
1989-01-01,31750.0
1990-01-01,31430.0
1991-01-01,30970.0
1992-01-01,30650.0
1993-01-01,30960.0
1994-01-01,31310.0
1995-01-01,32180.0
1996-01-01,32870.0
1997-01-01,34320.0
1998-01-01,36020.0
1999-01-01,36410.0
2000-01-01,36790.0
2001-01-01,36680.0
2002-01-01,36530.0
2003-01-01,36680.0
2004-01-01,36640.0
2005-01-01,37310.0
2006-01-01,38450.0
2007-01-01,38700.0
2008-01-01,37170.0
2009-01-01,36790.0
2010-01-01,36340.0
2011-01-01,35810.0
2012-01-01,35660.0
2013-01-01,36130.0
2014-01-01,37010.0
2015-01-01,38950.0
2016-01-01,39700.0
2017-01-01,40100.0
2018-01-01,41460.0
2019-01-01,43600.0
2020-01-01,43010.0
2021-01-01,43080.0
2022-01-01,43150.0
2023-01-01,43310.0
2024-01-01,45140.0
