,MFGOPH
1949-01-01,
1950-01-01,
1951-01-01,
1952-01-01,
1953-01-01,
1954-01-01,
1955-01-01,
1956-01-01,
1957-01-01,
1958-01-01,
1959-01-01,
1960-01-01,
1961-01-01,
1962-01-01,
1963-01-01,
1964-01-01,
1965-01-01,
1966-01-01,
1967-01-01,
1968-01-01,
1969-01-01,
1970-01-01,
1971-01-01,
1972-01-01,
1973-01-01,
1974-01-01,
1975-01-01,
1976-01-01,
1977-01-01,
1978-01-01,
1979-01-01,
1980-01-01,
1981-01-01,
1982-01-01,
1983-01-01,
1984-01-01,
1985-01-01,
1986-01-01,
1987-01-01,45.672
1988-01-01,46.158
1989-01-01,46.458
1990-01-01,48.002
1991-01-01,48.981
1992-01-01,51.37
1993-01-01,52.648
1994-01-01,54.227
1995-01-01,56.216
1996-01-01,58.454
1997-01-01,61.279
1998-01-01,63.978
1999-01-01,67.761
2000-01-01,70.146
2001-01-01,71.452
2002-01-01,77.658
2003-01-01,82.688
2004-01-01,85.265
2005-01-01,89.587
2006-01-01,90.469
2007-01-01,94.692
2008-01-01,94.443
2009-01-01,95.703
2010-01-01,101.776
2011-01-01,102.665
2012-01-01,101.419
2013-01-01,102.789
2014-01-01,102.454
2015-01-01,100.741
2016-01-01,100.715
2017-01-01,100.0
2018-01-01,100.111
2019-01-01,97.816
2020-01-01,97.889
2021-01-01,99.552
2022-01-01,97.498
2023-01-01,96.585
2024-01-01,95.882
