,WPS0561
1967-01-01,13.6
1967-02-01,13.6
1967-03-01,13.6
1967-04-01,13.5
1967-05-01,13.5
1967-06-01,13.6
1967-07-01,13.6
1967-08-01,13.7
1967-09-01,13.7
1967-10-01,13.8
1967-11-01,13.7
1967-12-01,13.7
1968-01-01,13.7
1968-02-01,13.7
1968-03-01,13.6
1968-04-01,13.6
1968-05-01,13.6
1968-06-01,13.7
1968-07-01,13.8
1968-08-01,13.8
1968-09-01,13.9
1968-10-01,13.9
1968-11-01,13.9
1968-12-01,13.8
1969-01-01,13.8
1969-02-01,13.8
1969-03-01,14.3
1969-04-01,14.4
1969-05-01,14.4
1969-06-01,14.4
1969-07-01,14.5
1969-08-01,14.5
1969-09-01,14.5
1969-10-01,14.5
1969-11-01,14.5
1969-12-01,14.5
1970-01-01,14.4
1970-02-01,14.4
1970-03-01,14.4
1970-04-01,14.4
1970-05-01,14.4
1970-06-01,14.4
1970-07-01,14.3
1970-08-01,14.3
1970-09-01,14.4
1970-10-01,14.4
1970-11-01,14.4
1970-12-01,15.4
1971-01-01,15.5
1971-02-01,15.5
1971-03-01,15.5
1971-04-01,15.5
1971-05-01,15.5
1971-06-01,15.5
1971-07-01,15.7
1971-08-01,15.7
1971-09-01,15.8
1971-10-01,15.8
1971-11-01,15.7
1971-12-01,15.7
1972-01-01,15.3
1972-02-01,15.3
1972-03-01,15.3
1972-04-01,15.4
1972-05-01,15.4
1972-06-01,15.4
1972-07-01,15.5
1972-08-01,15.7
1972-09-01,15.8
1972-10-01,15.9
1972-11-01,15.7
1972-12-01,15.6
1973-01-01,
1973-02-01,
1973-03-01,
1973-04-01,
1973-05-01,
1973-06-01,
1973-07-01,
1973-08-01,
1973-09-01,
1973-10-01,
1973-11-01,
1973-12-01,
1974-01-01,
1974-02-01,
1974-03-01,
1974-04-01,
1974-05-01,
1974-06-01,
1974-07-01,
1974-08-01,
1974-09-01,
1974-10-01,
1974-11-01,
1974-12-01,
1975-01-01,
1975-02-01,
1975-03-01,
1975-04-01,
1975-05-01,
1975-06-01,
1975-07-01,
1975-08-01,
1975-09-01,
1975-10-01,
1975-11-01,
1975-12-01,
1976-01-01,
1976-02-01,
1976-03-01,
1976-04-01,
1976-05-01,
